,0
0,"Hi @Zoomcar_India , again experienced the same thing with you. and it's happening for the fourth time in a row. Sec… https://t.co/ZwqPT6osRf"
1,@Zoomcar_India I had booked a car for 28th april which was a 4 seater. The car owner denied the car and we were for… https://t.co/R6g0tFR5eu
2,@DhwaniRathod274 @ZoomcarPUN @ZoomcarBLR @ZoomcarMUM We regret the inconvenience caused to you. In order to assist… https://t.co/tZ87dFT8gd
3,@Zoomcar_India My concern is not sawing in it. And no body is looking or handling the ahmedabad city zoomcar servic… https://t.co/5hlFzAfFV9
4,"My car is being burtally damaged by on going guest by ZoomCar
I want the car to be repaired in as new company  cond… https://t.co/YAYRIAd9dz"
5,"@PushprajTomar12 Hello Pushpraj, we have highlighted your concern to our respective team and once we get any respon… https://t.co/6sxoifXT49"
6,"@positivesahab Hello Meghendra, we apologize for the delay in responding, as validated, you spoke with our concerne… https://t.co/KUdDfuxq2d"
7,"@Rahul000052 Hello Rahul, Request you to please share with us the correct booking id. As we are not able to fetch a… https://t.co/Jit75RWPJ8"
8,@BiswajitBiswar9 We apologize for the delay. Please be assured that the issue has been escalated and that the team… https://t.co/leLh0aJFCw
9,@satan_suyash @Zoomcar_India They are the worst. Always go with Drivezy.
10,"@Zoomcar_India @Zoomcar_India , after your escalation, I got the call from your team, 

And they have told me to se… https://t.co/oJNnmde1z9"
11,@Zoomcar_India Waiting for any updates on app
12,"@positivesahab Hello Meghendra, we deeply regret the inconvenience caused to you. We are here to help you with your… https://t.co/RXJYRVGMrD"
13,"@AggarwalJanu We regret the inconvenience caused to you. In order to assist you further, we would require your tick… https://t.co/YUyNPJbw3S"
14,@Zoomcar_India Getting an error @ZoomcarHYD @Zoomcar_India @morang https://t.co/tc5zQ9xnQK
15,@Zoomcar_India @morang My personal fasttag has been used by customer booking id = JPSNCPGNK6 https://t.co/rFeelnQCaP
16,"@Zoomcar_India Cancel the booking at your end and refund 100% of my deposited amount to source account, as I have h… https://t.co/NLFWIsIBnC"
17,"@PushprajTomar12 Hello Pushpraj, we deeply regret the inconvenience caused to you. We are here to help you with you… https://t.co/eIQ6Kjd2U6"
18,@DelhiSurabhi We apologize for the inconvenience this has caused. Please give us some time to check and get back to you as soon as possible.
19,If anyone planning to do business with zoomcar then think twice they can not support during challan or repair time.
20,"@Zoomcar_India Poor support team, one way comunication, car picked for repair but still work not started waiting fo… https://t.co/oBgNwNKHJ9"
21,@vaikon We sincerely apologize for the inconvenience you have experienced. Rest assured that we have initiated the… https://t.co/eLeQ41Smf9
22,@Zoomcar_India @navingupta03  ID: JPSNC1AZK I am supposed to pick up a car tomorrow 9:00 am. Host saying the car in… https://t.co/Uf2HVvvGOO
23,@Zoomcar_India Booking id- JPSNCPDX1
24,@mayu198_ We apologize for the delay. Please be assured that the issue has been escalated and that the team will co… https://t.co/uTYlTFypo1
25,"@Jeevanvarmap Hello Jeevan, we request you to kindly share with us the payment details and screenshot of the chat m… https://t.co/qW2iQ68NhP"
26,@Zoomcar_India I have cancelled the booking. Just one request please make sure to have better visibility of car ava… https://t.co/p1IjtiPoRe
